GivenName,Surname,Department,City,State,SamAccountName,UserprincipalName,Name,DisplayName
Robert,Martinez,Projects,Columbia,SC,RoMartinez,RoMartinez@KMW.local,Robert Martinez,Robert Martinez
Louise,Wood,Management,Columbia,SC,LoWood,LoWood@KMW.local,Louise Wood,Louise Wood
Kimberly,Fisher,Projects,Columbia,SC,KiFisher,KiFisher@KMW.local,Kimberly Fisher,Kimberly Fisher
Jessica,Williams,Projects,Columbia,SC,JeWilliams,JeWilliams@KMW.local,Jessica Williams,Jessica Williams
Clifford,Ramos,Projects,Columbia,SC,ClRamos,ClRamos@KMW.local,Clifford Ramos,Clifford Ramos
Linda,Fritz,Projects,Columbia,SC,LiFritz,LiFritz@KMW.local,Linda Fritz,Linda Fritz
Janet,Richard,Projects,Columbia,SC,JaRichard,JaRichard@KMW.local,Janet Richard,Janet Richard
Stanley,Rocha,Projects,Columbia,SC,StRocha,StRocha@KMW.local,Stanley Rocha,Stanley Rocha
Mary,Hopkins,Projects,Columbia,SC,MaHopkins,MaHopkins@KMW.local,Mary Hopkins,Mary Hopkins
Harold,Davis,Projects,Columbia,SC,HaDavis,HaDavis@KMW.local,Harold Davis,Harold Davis
Richard,Atkinson,Management,Columbia,SC,RiAtkinson,RiAtkinson@KMW.local,Richard Atkinson,Richard Atkinson
Eric,Erickson,Projects,Columbia,SC,ErErickson,ErErickson@KMW.local,Eric Erickson,Eric Erickson
Martha,Martinez,Projects,Columbia,SC,MaMartinez,MaMartinez@KMW.local,Martha Martinez,Martha Martinez
Christopher,Burton,Projects,Columbia,SC,ChBurton,ChBurton@KMW.local,Christopher Burton,Christopher Burton
Dorothy,Cisneros,Administration,Columbia,SC,DoCisneros,DoCisneros@KMW.local,Dorothy Cisneros,Dorothy Cisneros
Irene,Fleming,Projects,Columbia,SC,IrFleming,IrFleming@KMW.local,Irene Fleming,Irene Fleming
Susan,Obrien,Projects,Columbia,SC,SuObrien,SuObrien@KMW.local,Susan Obrien,Susan Obrien
Elizabeth,Blankenship,Projects,Columbia,SC,ElBlankenship,ElBlankenship@KMW.local,Elizabeth Blankenship,Elizabeth Blankenship
Nancy,Young,Projects,Columbia,SC,NaYoung,NaYoung@KMW.local,Nancy Young,Nancy Young
Johnny,Banks,Projects,Columbia,SC,JoBanks,JoBanks@KMW.local,Johnny Banks,Johnny Banks
Roy,Fernandez,Management,Columbia,SC,RoFernandez,RoFernandez@KMW.local,Roy Fernandez,Roy Fernandez
Vincent,Powers,Projects,Columbia,SC,ViPowers,ViPowers@KMW.local,Vincent Powers,Vincent Powers
Jennifer,Thompson,Projects,Columbia,SC,JeThompson,JeThompson@KMW.local,Jennifer Thompson,Jennifer Thompson
Dennis,Liu,Management,Columbia,SC,DeLiu,DeLiu@KMW.local,Dennis Liu,Dennis Liu
Patricia,Harris,Projects,Columbia,SC,PaHarris,PaHarris@KMW.local,Patricia Harris,Patricia Harris
Henry,Powers,Projects,Columbia,SC,HePowers,HePowers@KMW.local,Henry Powers,Henry Powers
Dennis,Fisher,Projects,Columbia,SC,DeFisher,DeFisher@KMW.local,Dennis Fisher,Dennis Fisher
Victoria,Freeman,Projects,Columbia,SC,ViFreeman,ViFreeman@KMW.local,Victoria Freeman,Victoria Freeman
Carol,Dean,Projects,Columbia,SC,CaDean,CaDean@KMW.local,Carol Dean,Carol Dean
Marie,Petersen,Projects,Columbia,SC,MaPetersen,MaPetersen@KMW.local,Marie Petersen,Marie Petersen
Nathan,Olson,Projects,Columbia,SC,NaOlson,NaOlson@KMW.local,Nathan Olson,Nathan Olson
Maria,Lawson,Projects,Columbia,SC,MaLawson,MaLawson@KMW.local,Maria Lawson,Maria Lawson
Herman,Anthony,Projects,Columbia,SC,HeAnthony,HeAnthony@KMW.local,Herman Anthony,Herman Anthony
Patricia,Russell,Projects,Columbia,SC,PaRussell,PaRussell@KMW.local,Patricia Russell,Patricia Russell
Michael,Leach,Projects,Columbia,SC,MiLeach,MiLeach@KMW.local,Michael Leach,Michael Leach
Shirley,Sparks,Projects,Columbia,SC,ShSparks,ShSparks@KMW.local,Shirley Sparks,Shirley Sparks
Peter,Hodges,Projects,Columbia,SC,PeHodges,PeHodges@KMW.local,Peter Hodges,Peter Hodges
Amanda,Clark,Projects,Columbia,SC,AmClark,AmClark@KMW.local,Amanda Clark,Amanda Clark
Christopher,Parker,Projects,Columbia,SC,ChParker,ChParker@KMW.local,Christopher Parker,Christopher Parker
